State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh","East Godavari",Rajahmundry,Paddy(Dhan)(Common),"Swarna Masuri (New)",FAQ,20/02/2024,2203,2203,2203
"Andhra Pradesh","East Godavari",Sampara,Paddy(Dhan)(Common),"Swarna Masuri (New)",FAQ,20/02/2024,2183,2193,2183
"Andhra Pradesh",Guntur,Duggirala,Turmeric,Finger,FAQ,20/02/2024,9500,11700,10700
"Andhra Pradesh",Kurnool,Nandikotkur,"Bengal Gram(Gram)(Whole)",Gulabi,FAQ,20/02/2024,5335,5335,5335
Bihar,Madhubani,Jainagar,Onion,Medium,FAQ,20/02/2024,2300,2500,2400
Bihar,Rohtas,Natwar,Potato,Jyoti,FAQ,20/02/2024,600,800,700
Chattisgarh,Dhamtari,Belarbahara,Paddy(Dhan)(Common),"I.R. 36",FAQ,20/02/2024,1800,1800,1800
Chattisgarh,Durg,Durg,"Bitter gourd","Bitter Gourd",FAQ,20/02/2024,4800,5000,4800
Chattisgarh,Durg,Durg,"Bottle gourd","Bottle Gourd",FAQ,20/02/2024,1100,1300,1300
Chattisgarh,Durg,Durg,Cauliflower,Cauliflower,FAQ,20/02/2024,2400,2600,2600
Chattisgarh,Durg,Durg,Grapes,Green,Medium,20/02/2024,6000,7000,6000
Chattisgarh,Durg,Durg,"Green Chilli","Green Chilly",FAQ,20/02/2024,3400,3500,3500
Chattisgarh,Durg,Durg,Guava,"Guava Navalur",Medium,20/02/2024,3000,3500,3500
Chattisgarh,Jashpur,Jaspur,Paddy(Dhan)(Common),Common,FAQ,20/02/2024,2200,2200,2200
Chattisgarh,Kanker,Charama,Paddy(Dhan)(Common),Other,FAQ,20/02/2024,2200,2200,2200
Chattisgarh,Kanker,Korar,"Kodo Millet(Varagu)",Other,FAQ,20/02/2024,2500,2500,2500
Chattisgarh,Kanker,Sambalpur,"Kodo Millet(Varagu)",Other,FAQ,20/02/2024,2500,2500,2500
Goa,"North Goa",Sanquelim,Arecanut(Betelnut/Supari),Red,FAQ,20/02/2024,20800,29800,25300
Goa,"North Goa",Sanquelim,Arecanut(Betelnut/Supari),Supari,FAQ,20/02/2024,32800,35100,33900
Gujarat,Amreli,Bagasara,"Corriander seed","A-1, Green",FAQ,20/02/2024,4700,6225,5462
Gujarat,Amreli,Bagasara,Cotton,Other,FAQ,20/02/2024,5250,7500,6375
Gujarat,Amreli,Damnagar,Brinjal,Other,FAQ,20/02/2024,300,1050,750
Gujarat,Amreli,Rajula,"Arhar (Tur/Red Gram)(Whole)",Other,FAQ,20/02/2024,8500,8500,8500
Gujarat,Amreli,Rajula,"Castor Seed","Castor seed",FAQ,20/02/2024,5355,5355,5355
Gujarat,Amreli,Rajula,Soyabean,Soyabeen,FAQ,20/02/2024,4060,4060,4060
Gujarat,Anand,"Anand(Veg,Yard,Anand)","Bhindi(Ladies Finger)",Bhindi,FAQ,20/02/2024,2500,3000,2800
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Carrot,Carrot,FAQ,20/02/2024,750,1000,800
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Cauliflower,Cauliflower,FAQ,20/02/2024,2000,2500,2400
Gujarat,Banaskanth,Deesa,"Castor Seed",Other,FAQ,20/02/2024,5605,5755,5700
Gujarat,Banaskanth,Deesa,Wheat,Other,FAQ,20/02/2024,2350,2455,2400
Gujarat,Banaskanth,Dhanera,Mustard,Other,FAQ,20/02/2024,4400,5090,4745
Gujarat,Banaskanth,Dhanera,Wheat,Other,FAQ,20/02/2024,2330,2330,2330
Gujarat,Banaskanth,Palanpur,"Bajra(Pearl Millet/Cumbu)",Deshi,FAQ,20/02/2024,2075,2405,2240
Gujarat,Bharuch,Jambusar,"Arhar (Tur/Red Gram)(Whole)",Other,FAQ,20/02/2024,9000,9800,9400
Gujarat,Bharuch,Jambusar,Jowar(Sorghum),Other,FAQ,20/02/2024,3200,3600,3400
Gujarat,Bharuch,Jambusar(Kaavi),"Castor Seed",Other,FAQ,20/02/2024,5300,5700,5500
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)",Brinjal,Brinjal,FAQ,20/02/2024,1500,1500,1500
Gujarat,"Gir Somnath",Talalagir,"Bottle gourd",Other,FAQ,20/02/2024,2000,4000,3000
Gujarat,"Gir Somnath",Talalagir,Brinjal,Other,FAQ,20/02/2024,1000,2000,1500
Gujarat,"Gir Somnath",Talalagir,Cabbage,Other,FAQ,20/02/2024,1000,3000,2000
Gujarat,Jamnagar,Dhrol,Mustard,Other,FAQ,20/02/2024,4485,4655,4570
Gujarat,Kachchh,Bachau,"Castor Seed","Castor seed",FAQ,20/02/2024,5500,5695,5597
Gujarat,Kachchh,Bachau,"Guar Seed(Cluster Beans Seed)",Whole,FAQ,20/02/2024,4750,4800,4775
Gujarat,Kachchh,Bachau,"Moath Dal","Moath Dal",FAQ,20/02/2024,4750,5750,5250
Gujarat,Mehsana,"Mehsana(Mehsana Veg)",Lemon,Lemon,FAQ,20/02/2024,8000,9500,8750
Gujarat,Mehsana,"Mehsana(Mehsana Veg)",Potato,Potato,FAQ,20/02/2024,300,1350,1100
Gujarat,Mehsana,"Mehsana(Mehsana Veg)",Tomato,Tomato,FAQ,20/02/2024,1000,2500,2000
Gujarat,Rajkot,Dhoraji,"Black Gram (Urd Beans)(Whole)","Rajkot T-9",FAQ,20/02/2024,8330,8780,8780
Gujarat,Rajkot,Dhoraji,Onion,Nasik,FAQ,20/02/2024,375,1805,1680
Gujarat,Rajkot,Dhoraji,Wheat,Lokwan,FAQ,20/02/2024,2005,2625,2605
Gujarat,Rajkot,Jasdan,Groundnut,G20,FAQ,20/02/2024,4750,6850,6250
Gujarat,Rajkot,Jasdan,"Kulthi(Horse Gram)","Horse gram (Whole)",FAQ,20/02/2024,8000,8000,8000
Gujarat,Rajkot,Jasdan,"Methi Seeds",Methiseeds,FAQ,20/02/2024,4750,5500,5250
Gujarat,Rajkot,Rajkot,"Corriander seed","Coriander Seed",FAQ,20/02/2024,5900,8505,7000
Gujarat,Rajkot,Rajkot,"Cummin Seed(Jeera)","Cummin Seed(Jeera)",FAQ,20/02/2024,22500,30500,27750
Gujarat,Rajkot,Rajkot,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,20/02/2024,13900,15200,14555
Gujarat,Rajkot,Rajkot,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,20/02/2024,12500,14745,13500
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Brinjal,Brinjal,FAQ,20/02/2024,1000,2000,1750
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Potato,Desi,FAQ,20/02/2024,700,1605,1250
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Tomato,Tomato,FAQ,20/02/2024,1800,3250,2375
Gujarat,Sabarkantha,Khedbrahma,Soyabean,Other,FAQ,20/02/2024,4300,4375,4337
